2026-04-2 8:01, wolf01, change in proactive state from; AtHome, to: VisitingFriend
2026-04-2 8:01, wolf02, change in proactive state from; AtHome, to: VisitingFriend
2026-04-2 8:01, wolf03, change in proactive state from; , to: HuntingAgentB
2026-04-2 8:01, [sheep], change in state from; 0, to: [State_MoveAround]
2026-04-2 8:08, wolf01, change in proactive state from; VisitingFriend, to: BuildingFamily
2026-04-2 8:08, wolf02, change in proactive state from; VisitingFriend, to: BuildingFamily
2026-04-2 9:25, [sheep], change in state from; [State_MoveAround], to: [State_identifyFollower]
2026-04-2 9:30, [sheep], change in state from; [State_identifyFollower], to: [State_MoveAround]
2026-04-2 9:43, [sheep], change in state from; [State_MoveAround], to: [State_identifyFollower]
2026-04-2 9:48, [sheep], change in state from; [State_identifyFollower], to: [State_MoveAround]
2026-04-2 10:18, [sheep], change in state from; [State_MoveAround], to: [State_identifyFollower]
2026-04-2 10:23, [sheep], change in state from; [State_identifyFollower], to: [State_MoveAround]
2026-04-2 11:24, [sheep], change in state from; [State_MoveAround], to: [State_identifyFollower]
2026-04-2 11:29, [sheep], change in state from; [State_identifyFollower], to: [State_MoveAround]
2026-04-2 12:05, [sheep], change in state from; [State_MoveAround], to: [State_identifyFollower]
2026-04-2 12:10, [sheep], change in state from; [State_identifyFollower], to: [State_MoveAround]
2026-04-2 12:41, [sheep], change in state from; [State_MoveAround], to: [State_identifyFollower]
2026-04-2 12:46, [sheep], change in state from; [State_identifyFollower], to: [State_MoveAround]
2026-04-2 13:07, [sheep], change in state from; [State_MoveAround], to: [State_identifyFollower]
2026-04-2 13:12, [sheep], change in state from; [State_identifyFollower], to: [State_Escape]
2026-04-2 13:27, wolf03, change in proactive state from; HuntingAgentB, to: AtHome
2026-04-2 13:28, wolf03, change in proactive state from; AtHome, to: HuntingAgentB
2026-04-2 13:28, [sheep], change in state from; [State_Escape], to: [State_Sanctuary]
2026-04-2 13:29, wolf03, change in proactive state from; HuntingAgentB, to: AtHome
2026-04-2 13:30, wolf03, change in proactive state from; AtHome, to: HuntingAgentB
2026-04-2 13:31, wolf03, change in proactive state from; HuntingAgentB, to: AtHome
2026-04-2 13:32, wolf03, change in proactive state from; AtHome, to: MakeFriends
2026-04-2 22:00, wolf01, change in proactive state from; BuildingFamily, to: AtHome
2026-04-2 22:00, wolf02, change in proactive state from; BuildingFamily, to: AtHome
2026-04-2 22:00, wolf03, change in proactive state from; MakeFriends, to: AtHome
2026-04-2 22:00, [sheep], change in state from; [State_Sanctuary], to: [State_MoveAround]
